typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
1	Chambana Jan Jam	Jo Mortland	Scot Meyer	Jonathan Sivier				Mean Lids	Sasafras Stomp	Big Bluestem					1/5/2018	Urbana IL	http://www.urbana-contra.org/jan_jam.html
1	Phoenix Winter Frolic	Carol Ormand						Free Raisins							1/12/2018	Mesa AZ	https://phxtmd.org/frolics
1	Orange Blossom Ball	Seth Tepfer	Donna Hunt	Janine Smith				Lift Ticket	Morrison Brothers	Sound Traveler					1/12/2018	Daytona FL	http://www.orangeblossomcontra.com/
1	Ralph Page Dance Legacy Weekend	Lisa Greenleaf	Steve Zakon-Anderson					unnamed							1/12/2018	Durham NH	http://ralphpage.neffa.org/
1	Contra Carnivale	Cis Hinkle	Frannie Marr	Jeremy Korr				Jigjazz	Maivish	Riptide					1/18/2018	San Louis Obispo CA	http://www.cccds.org/ContraCarnivale/
1	Contra Swing Shift Weekend	Seth Tepfer						Euphor							1/26/2018	Berea KY	http://www.swingshift.ltda.ws/
1	Florida Snow Ball	Cis Hinkle	Susan Petrick					Elixir	Gaslight Tinkers						1/26/2018	Gulfport FL	http://floridasnowball.tampabaycontra.com/
1	Peterborough Snow Ball	Will Mentor	Adina Gordon	Steve Zakon-Anderson	Nils Fredland			Pete's Posse	Buddy System	Double Date	Great Bear				1/20/2018	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2018
1	Wintergreen Dance Weekend	Sarah VanNorstrand						Great Bear	Swift Current						1/26/2018	Bozeman MT	http://www.bozemanfolklore.org/wintergreen.html
2	Tropical Dance Vacation: St Croix	Lisa Greenleaf	George Marshall					Wild Asparagus							2/7/2018	St Croix	http://www.tropicaldancevacation.com/st-croix.html
2	Supersonic	Seth Tepfer	Deb Comly					Genticorum	Contra Sutra						2/2/2018	Seattle WA	http://www.supersoniccontra.com/
2	Corvallis Contra Dance Weekend	Will Mentor	Susan Petrick					Free Raisins	Uncle Farmer						2/16/2018	Corvallis OR	http://corvallisfolklore.org/ccw/
2	Cabin Fever/Knoxville Dance Festival	Vicki Herndon						Toss the Possum	Froghammer						2/9/2018	Knoxville TN	http://kcd.gmn-usa.com/
2	Dance Flurry Festival	Sarah VanNorstrand	Lisa Greenleaf	Bob Isaacs	Ron Blechner	Casey Carr	Peter Stix	Buddy System	Clayfoot Strutters	Pete's Posse	Nova	ContraPositive	Quickstep		2/16/2018	Saratoa Springs NY	http://www.flurryfestival.org/
2	Bayou Bedlam	Dana Parkinson						Nova							2/8/2018	Houston TX	http://www.bayoubedlam.org/
2	Ski Dance Weekend	Janine Smith	Bob Mathis					Unnamed							2/16/2018	Laurel Highlands PA	skidance.com
2	Ann Arbor Dawn Dance Weekend	Rick Mohr						Latter Day Lizards							2/23/2018	Ann Arbor MI	http://aactmad.org/ddw/
2	Stellar Days & Nights	Gaye Fifer	Wendy Graham					Uncle Farmer	Ladies at Play						2/22/2018	Buena Vista CO	http://www.stellardaysandnights.org/
2	Fiddling Frog Dance Festival	Steve Zakon-Anderson	Dana Parkinson					Groovemongers	Gaslight Tinkers	Rushfest					2/23/2018	Pasadena CA	http://www.caldancecoop.org/cgi/frogdriver.cgi
2	Chance Dance Weekend	Open Calling						Mean Lids	Meadowhawk	Bruce Zimmerman Band					3/2/2018	Cape Girardeau MO	http://chance-dance.angelfire.com/
2	Dancing with the GODS	Janine Smith	Adina Gordon					Moving Violations	Figments						2/23/2018	Gainesville FL	http://godsdance.org/?q=weekend2018
3	Lava Meltdown	Susan Kevra						Eloise &co	Bandage a Trois						3/9/2018	Lava Hot Springs ID	http://www.lavameltdown.info/
3	Pigtown Fling	Kristen Planeaux	Bev Berenbaum					Rosethorns	Contraforce						3/23/2018	Cincinattia OH	http://www.cincinnaticontradance.org/pigtown.htm
3	Spring Breakdown Dance Weekend	Beth Molaro						Lift Ticket							3/16/2018	Columbia MO	https://mmtdcolumbia.org/dance-weekend-2-2/
3	Appleseed Allemande	Paul Collins	Barry Dupen					Hoosier Recruits	Spy Run String Band						3/24/2018	North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html
3	DownEast Country Dance Festival	Adina Gordon	Dugan Murphy	John McIntire				Notorius	Velocipede	Frigate					3/24/2018	Topsham ME	http://www.deffa.org/festival/
4	Epicenter dance weekend	Will Mentor	Lisa Greenleaf					Elixir	Stringrays						4/6/2018	Mill Valley CA	http://nbcds.org/epicenter-2018/
