	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
1	Dancing Fish: January																Melrose FL	https://dancingfish.dance/	
1	Chambana Jan Jam													Larks / Robins			Urbana IL	http://www.urbana-contra.org/jan_jam.html	
1	Fiddler's Dream	open calling						open band									Kingston OK	https://www.nttds.org/fdream/home.html	
1	Ralph Page Dance Legacy Weekend																Worcester MA	https://www.neffa.org/annual-ralph-page-dance-event/	
1	Contra Carnivale	Jacqui Grennan	Jean Gorrindo	Michael Karcher				Red Case Band	Topspin	Dam Beavers				Larks / Robins	1/16/2026	1/18/2026	San Luis Obispo CA	https://contracarnivale.org/	
1	Contra Swing Shift Weekend																Berea KY	https://www.swingshift.ltda.us/	
1	Florida Snow Ball	Michael Karcher	Lisa Greenleaf					Turnip the Beet	Red Case Band						1/23/2026	1/25/2026	Gulfport FL	http://floridasnowball.tampabaycontra.com/	
1	Peterbough Snow Ball																Peterborough NH	https://www.monadnockfolk.org/?p=11577	
1	Stellar Days and Nights														1/16/2026	1/19/2026	Buena Vista CO	https://rockymountainranchdance.com	
2	IVFDF													Larks / Robins			York UK	https://ivfdf2024.org.uk/	
1	Wintergreen	Lindsey Dono	Christa Torrens					Wake Up Robin	Hypergolic						1/23/2026	1/25/2026	Bozeman MT	https://bozemanfolklore.org/wintergreen-2026/	
1	Chattaboogie																Chattanooga TN	https://register.contranooga.us/	
1	Peterbough Snow Ball																Peterborough NH	https://www.monadnockfolk.org/event/%e2%98%bc-%e2%98%bc-%e2%98%bc-peterborough-snow-ball-2025/	
2	Fiddling Frog Dance Festival	Frannie Marr	Cis Hinkle					Playing with Fyre	Eloise &co					Larks / Robins	2/27/2026	3/1/2026	Pasadena CA	https://www.sccdc.org/special-events/fiddling-frog/	
2	Phoenix Winter Frolic																Mesa AZ	https://phxtmd.org/winter-frolic-2025	
2	Supersonic	Seth Tepfer						Root System	Faux Paws						2/6/2026	2/8/2026	Seattle WA	https://www.supersoniccontra.com/	
2	Dancing Fish: February																Melrose FL	https://dancingfish.dance/	
2	Tropical Dance Vacation: St Croix																St Croix	https://www.tropicaldancevacation.com/contra-week.html	
2	Corvallis Contra Dance Weekend													Larks / Robins			Corvallis OR	https://corvallisfolklore.org/home/event/corvallis-contra-weekend-2024/	
2	Cabin Fever																Knoxville TN	https://www.knoxvillecontra.org/cfschedule	
2	Dance Flurry Festival																Saratoga Springs NY	http://www.flurryfestival.org/	
2	Bayou Bedlam														2/20/2026	2/22/2026	Houston TX	http://www.bayoubedlam.org/	
2	Fiddling Frog Dance Festival	Susan Petrick	Lindsey Dono					Syncopaths	River Road					Larks / Robins	2/21/2025	2/23/2025	Pasadena CA	https://www.caldancecoop.org/special-events/fiddling-frog/	
2	Supersonic													Larks / Robins			Seattle WA	http://www.supersoniccontra.com/	
