	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	complete
1	Dancing Fish: January																Melrose FL	https://dancingfish.dance/	FALSE
1	Chambana Jan Jam													Larks / Robins			Urbana IL	http://www.urbana-contra.org/jan_jam.html	FALSE
1	Fiddler's Dream																Kingston OK	https://www.nttds.org/fdream/home.html	FALSE
1	Ralph Page Dance Legacy Weekend																Worcester MA	https://www.neffa.org/annual-ralph-page-dance-event/	FALSE
1	Contra Carnivale													Larks / Robins			San Luis Obispo CA	https://contracarnivale.org/	FALSE
1	Contra Swing Shift Weekend													Gents / Ladies			Berea KY	https://www.swingshift.ltda.us/	FALSE
1	Florida Snow Ball																Gulfport FL	http://floridasnowball.tampabaycontra.com/	FALSE
1	Peterbough Snow Ball													Larks / Robins			Peterborough NH	https://www.monadnockfolk.org/event/%e2%98%bc-%e2%98%bc-%e2%98%bc-peterborough-snow-ball-2026/	FALSE
1	Stellar Days and Nights																Buena Vista CO	https://rockymountainranchdance.com	FALSE
2	IVFDF													Larks / Robins			York UK	https://ivfdf2026.org.uk/	FALSE
1	Wintergreen																Bozeman MT	https://bozemanfolklore.org/wintergreen-2026/	FALSE
1	Chattaboogie																Chattanooga TN	https://contranooga.dance	FALSE
2	Fiddling Frog Dance Festival													Larks / Robins			Pasadena CA	https://www.sccdc.org/special-events/fiddling-frog/	FALSE
2	Phoenix Winter Frolic																Chandler AZ	https://phxtmd.org/winter-frolic-2026	FALSE
2	Supersonic																Seattle WA	https://supersoniccontra.dance	FALSE
2	Dancing Fish: February																Melrose FL	https://dancingfish.dance/	FALSE
2	Tropical Dance Vacation: St Croix																St Croix	https://www.tropicaldancevacation.com/contra-week.html	FALSE
2	Corvallis Contra Dance Weekend													Larks / Robins			Corvallis OR	https://corvallisfolklore.org/home/ccw/	FALSE
2	Cabin Fever																Knoxville TN	https://www.knoxvillecontra.org/cfschedule	FALSE
2	Dance Flurry Festival																Saratoga Springs NY	http://www.flurryfestival.org/	FALSE
2	Bayou Bedlam																Houston TX	http://www.bayoubedlam.org/	FALSE
2	Fiddling Frog Dance Festival													Larks / Robins			Pasadena CA	https://www.caldancecoop.org/special-events/fiddling-frog/	FALSE
2	Corvallis Contra Weekend													Larks / Robins			Corvallis OR	https://corvallisfolklore.org/home/ccw/	FALSE
2	Galhalla													Larks / Robins			St Louis MO	https://www.shedances.org/galhalla	FALSE
3	Dancing Fish: March																Melrose FL	https://dancingfish.dance/	FALSE
3	Lava Meltdown																Lava Hot Springs ID	https://www.lavameltdown.com/	FALSE
3	Carolina Meltdown																Lake Wylie SC	https://www.charlottecontradance.org/carolina-meltdown	FALSE
3	Pigtown Fling																Cincinattia OH	https://contradances.net/reg/ccd/2026	FALSE
3	DownEast Country Dance Festival																Topsham ME	http://www.deffa.org/festival/	FALSE
3	Spring Breakdown Dance Weekend																Columbia MO	https://mmtd.wordpress.com/2026-spring-breakdown/	FALSE
3	Beantown Stomp													Larks / Robins			Cambridge MA	https://www.beantownstomp.com	FALSE
3	Celebration!																Decatur GA	https://www.contradance.org/celebration/	FALSE
